trip	from	to	distance(meters)
1	Washington Monument	White House	1509
2	White House	Ford's Theatre National Historic Site	1570
3	Ford's Theatre National Historic Site	Pennsylvania Avenue National Historic Site	857
4	Pennsylvania Avenue National Historic Site	National Mall	1026
5	National Mall	Belmont-Paul Women's Equality National Monument	4142
6	Belmont-Paul Women's Equality National Monument	Frederick Douglass National Historic Site	4464
7	Frederick Douglass National Historic Site	Fort Washington Park	25538
8	Fort Washington Park	George Washington Memorial Parkway	33590
9	George Washington Memorial Parkway	Piscataway Park	43841
10	Piscataway Park	Thomas Stone National Historic Site	19130
11	Thomas Stone National Historic Site	George Washington Birthplace National Monument	65880
12	George Washington Birthplace National Monument	Maggie L. Walker National Historic Site	115883
13	Maggie L. Walker National Historic Site	Richmond National Battlefield Park	17946
14	Richmond National Battlefield Park	Petersburg National Battlefield	33114
15	Petersburg National Battlefield	Colonial National Historical Park	121817
16	Colonial National Historical Park	Fort Monroe National Monument	43300
17	Fort Monroe National Monument	Wright Brothers National Memorial	155315
18	Wright Brothers National Memorial	Fort Raleigh National Historic Site	30278
19	Fort Raleigh National Historic Site	Cape Hatteras National Seashore	84283
20	Cape Hatteras National Seashore	Cape Lookout National Seashore	377681
21	Cape Lookout National Seashore	Moores Creek National Battlefield	182334
22	Moores Creek National Battlefield	Appomattox Court House National Historical Park	395026
23	Appomattox Court House National Historical Park	Booker T. Washington National Monument	110800
24	Booker T. Washington National Monument	Guilford Courthouse National Military Park	132525
25	Guilford Courthouse National Military Park	Blue Ridge Parkway	142507
26	Blue Ridge Parkway	Bluestone National Scenic River	163027
27	Bluestone National Scenic River	New River Gorge National River	101015
28	New River Gorge National River	Gauley River National Recreation Area	60623
29	Gauley River National Recreation Area	Hopewell Culture National Historical Park	293946
30	Hopewell Culture National Historical Park	Charles Young Buffalo Soldiers National Monument	92635
31	Charles Young Buffalo Soldiers National Monument	Dayton Aviation Heritage National Historical Park	32194
32	Dayton Aviation Heritage National Historical Park	William Howard Taft National Historic Site	94555
33	William Howard Taft National Historic Site	Abraham Lincoln Birthplace National Historical Park	254966
34	Abraham Lincoln Birthplace National Historical Park	Mammoth Cave National Park	72842
35	Mammoth Cave National Park	Lincoln Boyhood National Memorial	179865
36	Lincoln Boyhood National Memorial	George Rogers Clark National Historical Park	118592
37	George Rogers Clark National Historical Park	Fort Donelson National Battlefield	279790
38	Fort Donelson National Battlefield	Shiloh National Military Park	188707
39	Shiloh National Military Park	Brices Cross Roads National Battlefield Site	94699
40	Brices Cross Roads National Battlefield Site	Tupelo National Battlefield	34343
41	Tupelo National Battlefield	Natchez Trace National Scenic Trail	86569
42	Natchez Trace National Scenic Trail	Birmingham Civil Rights National Monument	224841
43	Birmingham Civil Rights National Monument	Freedom Riders National Monument	102868
44	Freedom Riders National Monument	Horseshoe Bend National Military Park	104866
45	Horseshoe Bend National Military Park	Tuskegee Airmen National Historic Site	74000
46	Tuskegee Airmen National Historic Site	Tuskegee Institute National Historic Site	6887
47	Tuskegee Institute National Historic Site	Jimmy Carter National Historic Site	156403
48	Jimmy Carter National Historic Site	Andersonville National Historic Site	39881
49	Andersonville National Historic Site	Ocmulgee National Monument	105087
50	Ocmulgee National Monument	Martin Luther King Jr. National Historic Site	140661
51	Martin Luther King Jr. National Historic Site	Chattahoochee River National Recreation Area	33172
52	Chattahoochee River National Recreation Area	Kennesaw Mountain National Battlefield Park	40889
53	Kennesaw Mountain National Battlefield Park	Little River Canyon National Preserve	157933
54	Little River Canyon National Preserve	Chickamauga and Chattanooga National Military Park	83094
55	Chickamauga and Chattanooga National Military Park	Russell Cave National Monument	77291
56	Russell Cave National Monument	Stones River National Battlefield	146093
57	Stones River National Battlefield	Obed Wild and Scenic River	141915
58	Obed Wild and Scenic River	Big South Fork National River and Recreation Area	101675
59	Big South Fork National River and Recreation Area	Cumberland Gap National Historical Park	142803
60	Cumberland Gap National Historical Park	Great Smoky Mountains National Park	159115
61	Great Smoky Mountains National Park	Andrew Johnson National Historic Site	96881
62	Andrew Johnson National Historic Site	Carl Sandburg Home National Historic Site	135340
63	Carl Sandburg Home National Historic Site	Cowpens National Battlefield	80696
64	Cowpens National Battlefield	Kings Mountain National Military Park	47623
65	Kings Mountain National Military Park	Ninety Six National Historic Site	177573
66	Ninety Six National Historic Site	Congaree National Park	161529
67	Congaree National Park	Charles Pinckney National Historic Site	157262
68	Charles Pinckney National Historic Site	Fort Sumter National Monument	16954
69	Fort Sumter National Monument	Reconstruction Era National Monument	139489
70	Reconstruction Era National Monument	Fort Pulaski National Monument	102694
71	Fort Pulaski National Monument	Fort Frederica National Monument	163554
72	Fort Frederica National Monument	Cumberland Island National Seashore	92490
73	Cumberland Island National Seashore	Timucuan Ecological and Historic Preserve	85537
74	Timucuan Ecological and Historic Preserve	Fort Caroline National Memorial	41089
75	Fort Caroline National Memorial	Castillo de San Marcos National Monument	65081
76	Castillo de San Marcos National Monument	Fort Matanzas National Monument	22845
77	Fort Matanzas National Monument	Canaveral National Seashore	135479
78	Canaveral National Seashore	Big Cypress National Preserve	460256
79	Big Cypress National Preserve	Biscayne National Park	110546
80	Biscayne National Park	Everglades National Park	91986
81	Everglades National Park	Dry Tortugas National Park	278436
82	Dry Tortugas National Park	De Soto National Memorial	635689
83	De Soto National Memorial	Gulf Islands National Seashore	826997
84	Gulf Islands National Seashore	Jean Lafitte National Historical Park and Preserve	351686
85	Jean Lafitte National Historical Park and Preserve	New Orleans Jazz National Historical Park	9681
86	New Orleans Jazz National Historical Park	Big Thicket National Preserve	492497
87	Big Thicket National Preserve	Cane River Creole National Historical Park	233452
88	Cane River Creole National Historical Park	Natchez National Historical Park	199788
89	Natchez National Historical Park	Natchez Trace Parkway	3285
90	Natchez Trace Parkway	Vicksburg National Military Park	118681
91	Vicksburg National Military Park	Poverty Point National Monument	87518
92	Poverty Point National Monument	Arkansas Post National Memorial	190166
93	Arkansas Post National Memorial	Little Rock Central High School National Historic Site	159258
94	Little Rock Central High School National Historic Site	Hot Springs National Park	82327
95	Hot Springs National Park	President William Jefferson Clinton Birthplace Home National Historic Site	129088
96	President William Jefferson Clinton Birthplace Home National Historic Site	Fort Smith National Historic Site	280897
97	Fort Smith National Historic Site	Chickasaw National Recreation Area	328271
98	Chickasaw National Recreation Area	Waco Mammoth National Monument	360857
99	Waco Mammoth National Monument	Lyndon B. Johnson National Historical Park	257175
100	Lyndon B. Johnson National Historical Park	San Antonio Missions National Historical Park	119552
