381 381
0 334 8
334 367 9
367 79 4
79 351 3
351 214 3
214 204 3
204 229 3
229 136 2
136 221 9
221 17 21
17 331 18
331 70 7
70 285 4
285 366 22
366 231 7
231 55 6
55 164 149
164 295 150
295 75 96
75 364 125
364 224 288
224 288 268
288 139 306
139 318 913
318 62 636
62 13 582
13 171 11
171 11 148
11 240 362
240 60 287
60 100 250
100 148 31
148 170 759
170 121 153
121 172 859
172 18 974
18 160 1170
160 328 810
328 184 5
184 98 14
98 109 510
109 348 450
348 179 352
179 323 1213
323 346 655
346 92 507
92 233 0
233 243 546
243 333 291
333 270 141
270 322 262
322 141 244
141 154 247
154 58 6
58 106 8
106 4 9
4 325 20
325 329 14
329 143 79
143 169 18
169 305 141
305 301 328
301 107 498
107 356 667
356 103 673
103 176 37
176 349 30
349 230 621
230 321 1153
321 219 1381
219 235 194
235 218 188
218 194 31
194 138 22
138 36 76
36 37 7
37 38 16
38 315 103
315 307 133
307 3 292
3 32 582
32 297 13
297 254 525
254 48 982
48 2 3044
2 303 1326
303 375 1708
375 306 4489
306 227 207
227 314 1276
314 129 1830
129 376 1149
376 365 236
365 330 2071
330 7 2470
7 196 262
196 110 317
110 123 733
123 140 332
140 108 1769
108 88 478
88 187 467
187 274 1492
274 294 632
294 185 3739
185 289 504
289 320 3587
320 278 1675
278 186 2320
186 199 34
199 156 1447
156 12 1588
12 352 2746
352 304 3078
304 237 630
237 99 2558
99 174 1429
174 213 2530
213 189 1291
189 345 182
345 267 1645
267 42 1532
42 362 1366
362 271 841
271 146 653
146 127 926
127 173 1072
173 40 1152
40 327 1070
327 177 1871
177 238 2640
238 281 1570
281 203 6064
203 132 2732
132 332 1190
332 94 2692
94 215 2883
215 29 798
29 371 2803
371 192 380
192 157 450
157 135 1792
135 336 1702
336 153 1447
153 74 1242
74 234 811
234 168 710
168 83 1536
83 84 1
84 26 2177
26 158 1189
158 150 2456
150 257 3361
257 360 2104
360 208 2082
208 205 1831
205 261 1317
261 299 227
299 311 1377
311 97 303
97 264 852
264 202 1224
202 244 870
244 211 1864
211 133 1322
133 193 3197
193 368 3184
368 210 239
210 82 1358
82 265 1500
265 291 993
291 357 1591
357 209 1063
209 283 2765
283 246 274
246 124 124
124 152 29
152 310 49
310 298 123
298 195 238
195 284 122
284 104 233
104 279 1592
279 372 2011
372 93 528
93 200 931
200 317 246
317 226 640
226 91 1414
91 63 2010
63 66 1207
66 313 679
313 43 1977
43 197 1744
197 239 1110
239 59 762
59 206 742
206 339 563
339 159 2882
159 61 1933
61 374 461
374 280 423
280 155 1014
155 370 883
370 326 230
326 354 194
354 344 653
344 241 244
241 338 1213
338 56 792
56 175 443
175 266 1504
266 340 1792
340 302 688
302 80 954
80 73 1127
73 113 161
113 149 1589
149 101 1665
101 102 342
102 64 1091
64 19 776
19 232 602
232 373 208
373 182 413
182 46 1321
46 183 431
183 276 672
276 253 1752
253 151 997
151 290 2
290 41 930
41 51 1153
51 252 1299
252 47 620
47 15 551
15 95 1940
95 77 1520
77 31 1112
31 87 377
87 161 1953
161 162 12
162 111 1190
111 296 1478
296 118 2109
118 316 915
316 5 581
5 363 1167
363 190 390
190 245 398
245 20 969
20 236 384
236 260 2121
260 258 3562
258 119 1294
119 355 2583
355 207 1855
207 6 192
6 312 3084
312 23 1029
23 52 1372
52 131 1361
131 272 766
272 225 668
225 21 72
21 347 244
347 277 798
277 308 1104
308 359 1482
359 65 1050
65 165 1594
165 54 496
54 115 1662
115 24 1506
24 293 296
293 8 1929
8 269 4940
269 268 1414
268 309 2269
309 220 891
220 353 1991
353 72 2902
72 128 2685
128 287 1869
287 181 1006
181 217 787
217 16 1190
16 286 1384
286 350 632
350 249 952
249 247 14
247 45 1624
45 28 1744
28 255 4312
255 188 77
188 167 3056
167 90 5173
90 96 3080
96 105 1049
105 30 672
30 25 803
25 44 2920
44 120 1055
120 57 196
57 114 524
114 337 85
337 86 284
86 117 527
117 125 948
125 379 480
379 130 789
130 67 106
67 78 1341
78 259 1293
259 201 1177
201 81 429
81 53 647
53 10 969
10 163 845
163 85 934
85 27 1018
27 262 703
262 324 1323
324 300 1105
300 71 544
71 216 602
216 198 1116
198 69 253
69 228 237
228 263 1194
263 9 814
9 191 343
191 343 1350
343 342 40
342 180 515
180 378 694
378 377 994
377 248 1718
248 341 769
341 39 251
39 319 763
319 116 1407
116 144 2221
144 212 778
212 223 1296
223 1 504
1 380 1166
380 361 1326
361 89 795
89 68 224
68 178 939
178 142 2411
142 256 322
256 34 427
34 33 1025
33 166 1156
166 35 995
35 14 1002
14 242 3000
242 50 1600
50 49 1187
49 126 665
126 369 90
369 122 1170
122 76 301
76 275 844
275 292 210
292 222 135
222 145 815
145 335 362
335 282 157
282 147 33
147 134 53
134 137 160
137 22 34
22 251 20
251 273 4
273 112 4
112 358 11
358 250 8
250 0 2
