375 375
0 229 0
229 79 0
79 204 0
204 331 0
331 134 0
134 334 0
334 137 0
137 366 0
366 164 0
164 55 0
55 358 0
358 136 0
136 224 0
224 221 0
221 17 0
17 22 0
22 251 0
251 250 0
250 231 0
231 285 0
285 364 0
364 70 0
70 295 0
295 75 0
75 240 0
240 171 0
171 13 0
13 11 0
11 60 0
60 148 0
148 100 0
100 170 1
170 121 0
121 172 1
172 18 1
18 109 1
109 348 0
348 98 0
98 328 0
328 184 0
184 160 1
160 141 1
141 154 0
154 106 0
106 270 0
270 243 0
243 322 0
322 58 0
58 333 0
333 143 0
143 305 0
305 169 0
169 329 0
329 4 0
4 325 0
325 107 1
107 301 0
301 356 0
356 321 1
321 32 1
32 297 0
297 254 1
254 48 1
48 303 4
303 2 1
2 315 3
315 37 0
37 36 0
36 138 0
138 194 0
194 218 0
218 38 0
38 3 0
3 307 0
307 219 0
219 235 0
235 306 1
306 227 0
227 314 1
314 230 1
230 103 1
103 349 0
349 176 0
176 346 1
346 233 1
233 92 0
92 179 1
179 323 1
323 129 2
129 365 1
365 330 2
330 7 2
7 196 0
196 110 0
110 140 1
140 123 0
123 62 1
62 318 1
318 292 1
292 275 0
275 222 0
222 14 1
14 35 1
35 34 1
34 256 0
256 142 0
142 178 2
178 108 2
108 88 0
88 187 0
187 274 1
274 294 1
294 89 2
89 68 0
68 361 1
361 144 3
144 212 1
212 223 1
223 1 1
1 27 1
27 262 1
262 71 1
71 198 1
198 69 0
69 228 0
228 263 1
263 9 1
9 191 0
191 342 1
342 343 0
343 180 1
180 216 1
216 300 1
300 324 1
324 248 2
248 341 1
341 39 0
39 319 1
319 116 1
116 267 3
267 345 2
345 189 0
189 213 1
213 174 3
174 99 1
99 289 4
289 185 1
185 320 3
320 278 2
278 186 2
186 199 0
199 156 1
156 352 3
352 12 3
12 304 2
304 237 1
237 281 3
281 238 2
238 177 3
177 327 2
327 40 1
40 173 1
173 127 1
127 362 1
362 146 1
146 271 1
271 128 1
128 72 3
72 355 3
355 6 2
6 207 0
207 119 3
119 258 1
258 312 3
312 23 1
23 52 1
52 131 1
131 272 1
272 161 2
161 162 0
162 111 1
111 296 1
296 316 2
316 118 1
118 5 1
5 94 2
94 190 1
190 363 0
363 245 0
245 236 1
236 20 0
20 260 2
260 203 5
203 332 2
332 132 1
132 215 4
215 29 1
29 371 3
371 192 0
192 157 0
157 135 2
135 336 2
336 153 1
153 74 1
74 168 1
168 234 1
234 84 1
84 83 0
83 26 2
26 158 1
158 150 2
150 257 4
257 360 2
360 208 2
208 205 2
205 261 1
261 299 0
299 311 1
311 97 0
97 264 1
264 202 1
202 244 1
244 211 2
211 133 1
133 193 3
193 368 3
368 210 0
210 82 1
82 265 1
265 291 1
291 357 2
357 209 1
209 284 2
284 104 0
104 195 0
195 124 0
124 283 0
283 152 0
152 310 0
310 298 0
298 246 0
246 279 2
279 317 2
317 200 0
200 372 1
372 93 1
93 226 1
226 91 1
91 63 2
63 66 1
66 313 1
313 43 2
43 197 2
197 239 1
239 59 1
59 206 1
206 339 1
339 159 3
159 41 2
41 61 1
61 374 0
374 280 0
280 151 1
151 290 0
290 51 1
51 252 1
252 15 1
15 77 1
77 87 1
87 31 0
31 95 2
95 47 2
47 182 1
182 373 0
373 232 0
232 19 1
19 64 1
64 347 1
347 21 0
21 225 0
225 277 1
277 101 1
101 102 0
102 276 1
276 183 1
183 46 0
46 253 1
253 370 1
370 354 0
354 326 0
326 155 1
155 344 1
344 241 0
241 338 1
338 175 1
175 56 0
56 266 2
266 340 2
340 80 1
80 302 1
302 73 1
73 113 0
113 149 2
149 308 2
308 359 1
359 65 1
65 165 2
165 54 0
54 115 2
115 24 2
24 293 0
293 8 2
8 268 4
268 269 1
269 309 3
309 220 1
220 353 2
353 28 3
28 45 2
45 287 2
287 181 1
181 42 2
42 217 1
217 16 1
16 286 1
286 350 1
350 247 1
247 249 0
249 255 2
255 188 0
188 167 3
167 90 5
90 25 2
25 105 1
105 96 1
96 30 2
30 44 3
44 120 1
120 57 0
57 337 1
337 86 0
86 114 0
114 117 1
117 125 1
125 130 1
130 67 0
67 78 1
78 259 1
259 53 1
53 163 1
163 85 1
85 10 1
10 81 1
81 201 0
201 33 1
33 166 1
166 242 2
242 50 2
50 49 1
49 126 1
126 369 0
369 76 1
76 122 0
122 145 1
145 335 0
335 139 0
139 288 0
288 282 0
282 147 0
147 367 0
367 351 0
351 112 0
112 273 0
273 214 0
214 0 0
